,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
370,dubbo,AU,-32.25,148.6167,77.0,47,10.36,1612920193,0
371,puntarenas,CR,9.9763,-84.8384,73.4,64,10.36,1612920759,20
372,apatity,RU,67.5641,33.4031,1.56,92,3.69,1612920759,99
373,boffa,GN,10.1667,-14.0333,71.6,88,2.26,1612920760,0
374,mayya,RU,61.7333,130.2811,-31.0,75,4.47,1612920725,0
375,frolovo,RU,49.7713,43.6622,29.66,99,5.08,1612920760,100
376,tiznit,MA,29.5833,-9.5,54.75,86,3.65,1612920498,100
377,semey,KZ,50.4111,80.2275,-5.8,71,15.66,1612920760,0
378,yantal,RU,56.8471,105.2542,5.59,91,4.59,1612920760,100
379,tombouctou,ML,20.0,-3.0,64.72,22,11.54,1612920760,68
380,yar-sale,RU,66.8333,70.8333,-20.18,86,13.42,1612920760,89
381,magog,CA,45.2668,-72.1491,17.6,86,2.3,1612920535,83
382,uruzgan,AF,32.8333,66.0,40.33,62,7.76,1612920760,0
383,xichang,CN,27.8964,102.2634,43.77,62,0.65,1612920197,0
384,mosquera,CO,4.7059,-74.2302,57.2,94,4.61,1612920760,40
385,caranavi,BO,-15.8167,-67.55,65.1,95,1.79,1612920760,100
386,marzuq,YE,14.4,46.4667,53.49,63,3.47,1612920208,85
387,caliling,PH,9.9804,122.4814,81.16,75,5.1,1612920760,20
388,northam,GB,51.0333,-4.2167,32.0,76,13.0,1612920761,81
389,yuancheng,CN,36.652,107.7896,40.78,64,5.48,1612920761,0
390,nelson bay,AU,-32.7167,152.15,71.6,64,6.91,1612920761,75
391,fare,PF,-16.7,-151.0167,82.18,72,12.1,1612920478,0
392,macon,US,39.8667,-88.9668,14.0,73,8.05,1612920584,90
393,santa maria,BR,-29.6842,-53.8069,68.0,88,3.44,1612920203,20
394,trindade,BR,-16.6494,-49.4889,71.6,94,3.44,1612920761,0
395,kamyshevatskaya,RU,46.4132,37.9563,37.17,91,4.72,1612920761,66
396,codrington,AU,-38.2667,141.9667,79.59,40,3.89,1612920201,0
397,kralendijk,BQ,12.15,-68.2667,78.8,69,13.8,1612920585,20
398,prince rupert,CA,54.3161,-130.3201,23.0,68,4.61,1612920603,90
399,victor harbor,AU,-35.5667,138.6167,91.99,28,4.65,1612920761,10
400,roald,NO,62.5833,6.1333,26.6,86,11.5,1612920761,75
401,staroshcherbinovskaya,RU,46.6311,38.6742,35.46,93,4.92,1612920761,66
402,baherden,TM,38.4362,57.4316,53.74,52,3.71,1612920761,0
403,gizo,SB,-8.103,156.8419,85.15,70,10.96,1612920718,34
404,sur,OM,22.5667,59.5289,68.72,68,8.12,1612920196,81
405,kyabe,TD,9.4515,18.9449,67.19,22,5.59,1612920762,76
406,alcudia,ES,39.8532,3.1214,57.99,88,1.14,1612920762,20
407,linhai,CN,28.85,121.1167,50.0,72,2.35,1612920762,100
408,bubaque,GW,11.2833,-15.8333,77.43,68,11.3,1612920762,22
409,ojinaga,MX,29.5667,-104.4167,71.6,13,5.75,1612920762,1
410,malya,TZ,-2.9833,33.5167,65.97,91,4.83,1612920762,100
411,ritchie,ZA,-29.038,24.6028,66.2,94,4.61,1612920762,0
412,malinovskiy,RU,61.1953,62.8397,-23.62,84,4.34,1612920762,0
413,meulaboh,ID,4.1363,96.1285,82.08,74,3.49,1612920703,95
414,belyy yar,RU,53.6039,91.3903,8.6,52,13.42,1612920795,0
415,guerrero negro,MX,27.9769,-114.0611,59.23,80,13.15,1612920795,0
416,xining,CN,36.6167,101.7667,33.8,62,2.28,1612920762,52
417,indian head,US,38.6001,-77.1622,42.8,56,4.61,1612920762,90
418,kavieng,PG,-2.5744,150.7967,84.27,77,9.55,1612920077,80
419,wuhu,CN,31.3366,118.3755,44.6,93,2.24,1612920762,100
420,alofi,NU,-19.0595,-169.9187,82.4,83,6.91,1612920204,100
421,witu,KE,-2.3889,40.4382,78.8,83,3.15,1612920763,1
422,sergeyevka,KZ,53.88,67.4158,-21.48,86,9.6,1612920763,0
423,riosucio,CO,5.4216,-75.7032,69.8,88,9.22,1612920763,40
424,empangeni,ZA,-28.762,31.8933,71.78,94,2.57,1612920763,75
425,kilindoni,TZ,-7.9139,39.6668,81.88,78,19.33,1612920763,100
426,inirida,CO,3.8653,-67.9239,75.81,91,0.74,1612920218,100
427,upata,VE,8.0086,-62.3989,78.01,77,3.0,1612920763,21
428,mehran,IR,33.1222,46.1646,42.8,49,4.61,1612920763,0
429,trapani,IT,37.8333,12.6667,57.0,93,8.05,1612920763,0
430,togul,RU,53.465,85.9128,1.98,92,14.85,1612920763,100
431,segou,ML,13.4317,-6.2157,74.32,19,10.18,1612920763,0
432,tailai,CN,46.3833,123.4,20.25,90,3.65,1612920763,0
433,primero de enero,CU,21.9469,-78.4283,75.2,94,11.5,1612920763,40
434,senanga,ZM,-16.1167,23.2667,67.87,95,6.58,1612920764,100
435,simpang,ID,-1.2667,104.0833,83.21,75,5.28,1612920764,99
436,los andes,CL,-32.8337,-70.5983,75.0,99,1.23,1612920764,2
437,maniitsoq,GL,65.4167,-52.9,20.03,83,5.93,1612920796,0
438,baiyin,CN,36.5583,104.2081,34.0,42,4.47,1612920764,0
439,manaure,CO,11.7751,-72.4445,77.36,71,14.99,1612920764,0
440,cochabamba,BO,-17.3895,-66.1568,62.6,88,16.11,1612920764,90
441,namatanai,PG,-3.6667,152.4333,84.4,72,6.17,1612920764,97
442,sabha,LY,27.0377,14.4283,58.86,31,8.32,1612920198,0
443,bambous virieux,MU,-20.3428,57.7575,77.0,83,3.44,1612920797,40
444,hay river,CA,60.8156,-115.7999,-16.6,69,18.41,1612920797,100
445,batagay-alyta,RU,67.8006,130.4114,-9.38,80,3.67,1612920202,100
446,kristianstad,SE,56.0313,14.1524,21.99,86,12.66,1612920764,90
447,tahoua,NE,14.8888,5.2692,71.6,12,4.61,1612920764,0
448,saurimo,AO,-9.6608,20.3916,64.87,96,4.5,1612920764,100
449,san rafael,AR,-34.6177,-68.3301,70.29,54,5.12,1612920635,57
450,damietta,EG,31.4165,31.8133,62.6,94,10.76,1612920764,0
451,awjilah,LY,29.1081,21.2869,56.37,35,6.04,1612920797,77
452,biskamzha,RU,53.4497,89.5272,-6.36,87,6.08,1612920765,100
453,kharian,PK,32.8149,73.8636,48.2,100,2.21,1612920765,90
454,zhigansk,RU,66.7697,123.3711,-24.81,84,4.83,1612920199,0
455,wawa,NG,9.9022,4.4192,74.82,18,6.93,1612920765,20
456,kalabagh,PK,32.965,71.557,56.03,61,2.1,1612920765,0
457,luderitz,NA,-26.6481,15.1594,67.6,70,13.35,1612920206,0
458,vila velha,BR,-20.3297,-40.2925,78.01,94,5.41,1612920792,100
459,ambositra,MG,-20.5167,47.25,62.73,95,4.21,1612920765,100
